,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
0,4/1/17,23849,67299,210739,767,43
1,4/2/17,39779,130087,210915,3639,58
2,4/3/17,43484,104217,211075,970,68
3,4/4/17,29990,63091,211171,183,23
4,4/5/17,47635,108281,211310,1192,59
5,4/6/17,18020,44411,211362,67,12
6,4/7/17,35779,81358,211440,456,43
7,4/8/17,35936,108886,211589,2719,83
8,4/9/17,43895,137240,211806,4390,114
9,4/10/17,50422,124356,212050,2164,139
10,4/11/17,57309,150222,212298,2699,135
11,4/12/17,51188,113959,212484,1493,108
12,4/13/17,52915,131228,212648,2388,129
13,4/14/17,52230,149382,212812,3451,273
14,4/15/17,42531,134526,212950,3981,235
15,4/16/17,48137,157912,213172,6143,361
16,4/17/17,53247,127619,213385,2019,234
17,4/18/17,53809,126129,213580,1624,194
18,4/19/17,45788,97587,213703,738,55
19,4/20/17,44260,108427,213819,1065,172
20,4/21/17,39868,92348,213913,1194,129
21,4/22/17,34596,101444,214028,5173,102
22,4/23/17,49106,142563,214278,4541,420
23,4/24/17,48692,103241,214462,1143,123
24,4/25/17,20332,47829,214552,201,36
25,4/26/17,37727,81859,214654,595,109
26,4/27/17,52035,122394,214793,1412,266
27,4/28/17,62199,163665,214965,2963,458
28,4/29/17,57701,180290,215219,5699,562
29,4/30/17,42928,125305,215455,2921,340
30,5/1/17,56218,136675,215724,1813,311
31,5/2/17,61205,142585,216017,1827,309
32,5/3/17,59251,141936,216239,1537,247
33,5/4/17,57428,144583,216436,1626,239
34,5/5/17,24009,58278,216535,355,52
35,5/6/17,46616,127879,216768,3349,363
36,5/7/17,34293,90625,216928,1921,196
37,5/8/17,51553,114260,217147,1230,253
38,5/9/17,56461,118257,217341,1179,199
39,5/10/17,58452,136080,217512,1362,225
40,5/11/17,57208,135699,217673,1313,205
41,5/12/17,56671,132477,217840,1784,189
42,5/13/17,5704,28193,217905,117,0
43,5/14/17,38729,114819,218120,2664,222
44,5/15/17,54715,129870,218356,1279,185
45,5/16/17,64504,157411,218690,1850,283
46,5/17/17,65791,153500,219023,1864,241
47,5/18/17,63753,149837,219304,1929,270
48,5/19/17,62143,145832,219564,2310,275
49,5/20/17,47858,135405,219776,3486,251
50,5/21/17,54873,160019,220097,4903,287
51,5/22/17,24627,61049,220269,218,22
52,5/23/17,60024,139680,220513,1579,224
53,5/24/17,60621,135482,220735,1558,153
54,5/25/17,17494,50743,220840,143,27
55,5/26/17,53763,133402,221049,2224,306
56,5/27/17,46533,145924,221271,4590,511
57,5/28/17,46724,151063,221515,5229,374
58,5/29/17,26321,75825,221745,1149,77
59,5/30/17,50192,114629,222057,962,204
60,5/31/17,59494,142097,222764,1596,197
61,6/1/17,67404,163063,222977,1957,289
62,6/2/17,66905,157299,223162,2315,357
63,6/3/17,56263,155712,223356,4627,356
64,6/4/17,40138,100571,223520,2270,103
65,6/5/17,55882,123795,223719,1286,204
66,6/6/17,41268,86679,223834,523,89
67,6/7/17,64452,149853,223969,1536,258
68,6/8/17,62652,132716,224131,1631,266
69,6/9/17,66504,156787,224289,2513,313
70,6/10/17,57086,150903,224455,4764,296
71,6/11/17,51427,140711,224654,3941,179
72,6/12/17,57870,133564,224889,1561,201
73,6/13/17,60920,129444,225078,1407,179
74,6/14/17,60510,137988,225231,1573,218
75,6/15/17,64761,144513,225430,1885,227
76,6/16/17,56401,128201,225556,1507,177
77,6/17/17,34899,83755,225683,2243,209
78,6/18/17,49469,138414,225864,3730,295
79,6/19/17,38308,88057,226025,878,158
80,6/20/17,64670,146794,226220,1781,215
81,6/21/17,67215,154525,226394,1666,258
82,6/22/17,66304,158453,226589,1818,260
83,6/23/17,55321,129797,226695,1585,205
84,6/24/17,52150,141282,226849,4277,314
85,6/25/17,54645,158625,227015,4527,256
86,6/26/17,62661,145321,227211,2024,297
87,6/27/17,64762,151112,227418,1697,229
88,6/28/17,67740,159263,227679,1893,208
89,6/29/17,64260,146419,227855,1703,210
90,6/30/17,58660,132583,228047,2024,293
0,7/1/17,36737,107126,228157,2828,372
1,7/2/17,43035,128397,228306,4314,458
2,7/3/17,48193,130240,228473,3243,316
3,7/4/17,49924,146441,228669,4929,315
4,7/5/17,60321,149487,228908,1886,267
5,7/6/17,62147,140767,229085,1646,264
6,7/7/17,44068,103656,229241,1283,216
7,7/8/17,55015,146438,229453,4138,333
8,7/9/17,57118,159914,229680,4471,340
9,7/10/17,60908,141463,229933,1546,359
10,7/11/17,61670,141463,230159,1269,227
11,7/12/17,61786,132874,230336,1376,179
12,7/13/17,56475,126527,230514,1322,180
13,7/14/17,31851,70477,230610,570,101
14,7/15/17,56499,148067,230772,4761,378
15,7/16/17,56833,153666,230981,4497,308
16,7/17/17,62555,141323,231225,1675,289
17,7/18/17,66234,144623,231416,1724,243
18,7/19/17,63916,143277,231603,1617,267
19,7/20/17,59665,131871,231741,1439,229
20,7/21/17,60074,136330,231882,1929,304
21,7/22/17,48013,124272,232049,3634,332
22,7/23/17,46945,117035,232212,3164,249
23,7/24/17,43793,104460,232359,989,113
24,7/25/17,65339,148542,232521,1549,285
25,7/26/17,70329,168603,232674,2054,248
26,7/27/17,65773,144443,232820,1666,214
27,7/28/17,63911,151514,232984,2293,297
28,7/29/17,52955,132509,233138,4085,324
29,7/30/17,59364,165423,233360,5214,376
30,7/31/17,64231,153123,233614,1862,263
31,8/1/17,66676,147654,233824,1813,272
32,8/2/17,56179,122622,233958,3291,139
33,8/3/17,66144,146858,234160,1849,257
34,8/4/17,56391,128749,234312,2212,325
35,8/5/17,58966,169511,234524,5299,415
36,8/6/17,56473,161492,234715,4686,292
37,8/7/17,23395,55927,234851,249,34
38,8/8/17,65228,145901,235084,1738,331
39,8/9/17,67874,170524,235283,1952,300
40,8/10/17,66245,151415,235457,1834,262
41,8/11/17,63134,147098,235623,2360,358
42,8/12/17,60531,173581,235890,5409,405
43,8/13/17,57511,162040,236098,4755,337
44,8/14/17,61460,139535,236328,1816,294
45,8/15/17,52460,105695,236504,948,125
46,8/16/17,68434,159032,236681,1905,251
47,8/17/17,66654,156810,236872,2087,261
48,8/18/17,36619,90704,236984,840,124
49,8/19/17,62440,186037,237324,5992,461
50,8/20/17,55438,147379,237518,4218,313
51,8/21/17,61055,138059,237710,1832,277
52,8/22/17,60541,133409,237878,1477,260
53,8/23/17,65069,141360,238057,1712,219
54,8/24/17,66306,151449,238257,1820,315
55,8/25/17,64217,156344,238406,2316,325
56,8/26/17,50111,132832,238546,3621,214
57,8/27/17,54594,145524,238771,4135,278
58,8/28/17,60885,133126,239016,1616,272
59,8/29/17,35151,67448,239163,424,104
60,8/30/17,65328,147325,239347,1760,309
61,8/31/17,64881,144852,239519,1727,260
62,9/1/17,54881,129382,239653,1775,294
63,9/2/17,37810,107949,239785,3359,420
64,9/3/17,30955,83988,239906,2394,175
65,9/4/17,55284,164623,240126,5298,362
66,9/5/17,65443,140362,240378,1607,265
67,9/6/17,42318,86395,240541,445,90
68,9/7/17,69571,148669,240750,1542,356
69,9/8/17,69616,154397,240903,1976,322
70,9/9/17,60187,150847,241108,4196,272
71,9/10/17,60750,154588,241329,4056,301
72,9/11/17,71964,166177,241563,1992,276
73,9/12/17,74623,161263,241775,1737,238
74,9/13/17,69616,146802,241991,1471,199
75,9/14/17,72128,150535,242211,1551,244
76,9/15/17,72361,160138,242393,2088,323
77,9/16/17,61077,156839,242552,4304,297
78,9/17/17,60003,156834,242748,3869,229
79,9/18/17,64207,138078,242968,1387,190
80,9/19/17,57977,115451,243128,914,146
81,9/20/17,71222,150377,243309,1385,202
82,9/21/17,67799,152463,243503,1690,191
83,9/22/17,70192,163114,243715,2315,259
84,9/23/17,62748,165582,243967,4821,322
85,9/24/17,57503,148926,244277,3681,176
86,9/25/17,69271,156367,244551,1537,258
87,9/26/17,71566,156779,244809,1359,257
88,9/27/17,69942,147977,245051,1268,200
89,9/28/17,70951,148394,245299,1490,224
90,9/29/17,67246,141709,245558,1875,288
91,9/30/17,50200,113613,245923,2694,214
0,10/1/17,55503,139011,246193,3511,235
1,10/2/17,65509,141748,246402,1408,242
2,10/3/17,69105,135800,246566,1258,194
3,10/4/17,71453,150324,246742,1377,188
4,10/5/17,70173,150437,246893,1365,251
5,10/6/17,70249,148395,247025,2104,383
6,10/7/17,63630,153928,247206,4996,356
7,10/8/17,41039,100790,247336,2233,192
8,10/9/17,38390,78912,247453,594,84
9,10/10/17,74117,155978,247615,2016,312
10,10/11/17,63587,126748,247767,1146,161
11,10/12/17,61244,123433,247896,1070,169
12,10/13/17,67016,136608,248038,1768,308
13,10/14/17,58771,142476,248167,3680,347
14,10/15/17,56529,137364,248382,3381,276
15,10/16/17,61729,125800,248552,997,192
16,10/17/17,64480,122345,248712,1030,170
17,10/18/17,70233,147842,248878,1202,249
18,10/19/17,72311,143664,249016,1491,274
19,10/20/17,72174,157255,249162,2246,351
20,10/21/17,65872,169402,249378,5093,276
21,10/22/17,62148,153444,249596,4596,200
22,10/23/17,69273,143899,249825,1659,279
23,10/24/17,48077,95599,249930,466,82
24,10/25/17,71284,142007,250090,1133,246
25,10/26/17,64002,123419,250187,973,191
26,10/27/17,69265,139481,250319,1991,352
27,10/28/17,61345,143571,250499,4306,317
28,10/29/17,9537,20810,250556,213,8
29,10/30/17,49246,95502,250681,771,121
30,10/31/17,60242,115329,250892,1076,166
31,11/1/17,60772,111304,250975,717,125
32,11/2/17,70810,144455,251060,1485,291
33,11/3/17,71817,147055,251163,2275,335
34,11/4/17,53433,120119,251269,3086,243
35,11/5/17,34943,76281,251349,1263,80
36,11/6/17,57606,116318,251433,1052,133
37,11/7/17,36361,69588,251487,643,77
38,11/8/17,54211,107852,251537,597,95
39,11/9/17,58416,113119,251591,837,171
40,11/10/17,38432,74794,251614,425,82
41,11/11/17,28142,55350,251657,832,64
42,11/12/17,32471,73187,251699,1191,62
43,11/13/17,38752,72112,251751,314,47
44,11/14/17,52278,95328,251802,493,59
45,11/15/17,54230,104590,251842,524,70
46,11/16/17,49737,93532,251884,521,74
47,11/17/17,48989,93476,251928,712,74
48,11/18/17,27745,58136,251965,872,53
49,11/19/17,31597,66078,252008,1020,64
50,11/20/17,45120,85295,252041,501,49
51,11/21/17,52448,95288,252075,960,69
52,11/22/17,32297,69530,252103,458,64
53,11/23/17,13705,32527,252115,806,103
54,11/24/17,23723,64012,252151,1129,95
55,11/25/17,30510,73542,252184,1995,85
56,11/26/17,27180,60652,252227,904,63
57,11/27/17,46732,99410,252277,553,46
58,11/28/17,51166,97329,252316,455,58
59,11/29/17,55290,107040,252365,638,71
60,11/30/17,51699,97110,252414,509,83
61,12/1/17,50708,99868,252473,695,123
62,12/2/17,38922,83660,252514,1513,100
63,12/3/17,33728,77915,252561,1037,66
64,12/4/17,49630,92142,252618,649,63
65,12/5/17,41792,85008,252686,381,57
66,12/6/17,46335,87328,252724,368,55
67,12/7/17,45367,94653,252761,427,65
68,12/8/17,41330,81217,252791,443,58
69,12/9/17,10804,20955,252811,112,15
70,12/10/17,19815,43621,252830,287,26
71,12/11/17,41838,81071,252869,456,38
72,12/12/17,42620,88499,252915,262,42
73,12/13/17,32623,60051,252942,155,20
74,12/14/17,27494,49648,252960,134,10
75,12/15/17,22944,41598,252980,130,9
76,12/16/17,19060,38766,252992,240,24
77,12/17/17,22403,49790,253011,343,27
78,12/18/17,40168,79914,253054,409,34
79,12/19/17,49503,97301,253087,541,42
80,12/20/17,41461,78833,253142,422,40
81,12/21/17,37592,70297,253180,386,47
82,12/22/17,34338,62387,253212,506,23
83,12/23/17,9608,24205,253228,112,10
84,12/24/17,13215,37985,253250,492,39
85,12/25/17,6479,26767,253293,439,27
86,12/26/17,14113,32919,253324,220,29
87,12/27/17,16365,31793,253346,234,33
88,12/28/17,13419,34438,253365,121,17
89,12/29/17,13759,29284,253395,177,17
90,12/30/17,5956,13910,253407,53,10
91,12/31/17,6569,18326,253443,94,2
0,1/1/2018,5499,11483,253490,123,7
1,1/2/2018,18818,39352,253558,125,12
2,1/3/2018,24299,42853,253591,164,4
3,1/4/2018,1922,5328,253604,2,1
4,1/5/2018,4972,14303,253614,14,0
5,1/6/2018,4294,9479,253624,9,2
6,1/7/2018,5640,9387,253640,41,4
7,1/8/2018,15820,31294,253661,45,4
8,1/9/2018,25090,50981,253690,112,17
9,1/10/2018,28252,50218,253720,142,18
10,1/11/2018,33961,66584,253757,244,15
11,1/12/2018,22252,46403,253786,152,16
12,1/13/2018,17758,30418,253809,355,31
13,1/14/2018,12394,32949,253827,183,9
14,1/15/2018,17637,41770,253857,150,8
15,1/16/2018,30278,60053,253895,189,13
16,1/17/2018,19010,36319,253921,52,12
17,1/18/2018,27662,52573,253952,92,18
18,1/19/2018,30525,50322,253983,216,15
19,1/20/2018,28507,59336,254025,1044,41
20,1/21/2018,27908,61571,254092,1013,26
21,1/22/2018,36864,68638,254144,345,25
22,1/23/2018,28796,63693,254191,179,19
23,1/24/2018,36078,69596,254236,232,32
24,1/25/2018,31147,51927,254263,181,16
25,1/26/2018,33073,61857,254301,313,23
26,1/27/2018,34348,70146,254368,1415,41
27,1/28/2018,20100,38221,254415,334,22
28,1/29/2018,36799,68868,254466,274,33
29,1/30/2018,27996,59260,254492,114,15
30,1/31/2018,31276,54440,254539,141,19
31,2/1/2018,35561,66984,254590,212,27
32,2/2/2018,26313,50427,254620,129,18
33,2/3/2018,18385,40020,254640,263,23
34,2/4/2018,13959,35121,254670,224,7
35,2/5/2018,29068,56061,254725,193,21
36,2/6/2018,34102,68060,254760,160,18
37,2/7/2018,15289,31573,254781,30,4
38,2/8/2018,31563,60985,254806,168,20
39,2/9/2018,31567,57070,254833,223,25
40,2/10/2018,16323,37641,254857,343,26
41,2/11/2018,8809,21167,254877,85,2
42,2/12/2018,35138,68283,254922,339,40
43,2/13/2018,35189,69420,254968,252,31
44,2/14/2018,39591,80081,255002,408,39
45,2/15/2018,44193,88474,255044,501,28
46,2/16/2018,29191,57219,255088,316,37
47,2/17/2018,17921,38834,255118,537,51
48,2/18/2018,21537,50512,255151,938,40
49,2/19/2018,25677,62150,255217,553,50
50,2/20/2018,44478,98129,255306,906,85
51,2/21/2018,53110,118306,255430,1596,77
52,2/22/2018,27010,54857,255485,147,18
53,2/23/2018,25633,49639,255534,165,22
54,2/24/2018,25550,61251,255597,956,51
55,2/25/2018,16149,34052,255654,231,18
56,2/26/2018,42570,84614,255747,448,54
57,2/27/2018,48514,107682,255836,664,48
58,2/28/2018,50707,100855,255944,637,52
59,3/1/2018,45562,91489,256022,571,45
60,3/2/2018,6855,23277,256050,21,7
61,3/3/2018,28361,61107,256117,851,56
62,3/4/2018,25262,60490,256189,704,33
63,3/5/2018,36774,75190,256263,357,47
64,3/6/2018,42688,80995,256307,516,27
65,3/7/2018,8188,22312,256333,16,7
66,3/8/2018,28440,53403,256360,188,17
67,3/9/2018,34912,70068,256393,344,43
68,3/10/2018,25443,59343,256438,689,43
69,3/11/2018,27596,67622,256517,1173,46
70,3/12/2018,36339,76569,256578,351,39
71,3/13/2018,23137,46021,256623,133,14
72,3/14/2018,35377,62352,256673,269,39
73,3/15/2018,39572,72192,256724,462,66
74,3/16/2018,34921,62381,256763,383,55
75,3/17/2018,27671,62524,256823,1015,56
76,3/18/2018,25158,55182,256880,839,36
77,3/19/2018,39278,83086,256933,544,39
78,3/20/2018,35532,69573,256986,187,17
79,3/21/2018,3755,11799,257004,3,1
80,3/22/2018,27308,61715,257040,216,25
81,3/23/2018,38527,77668,257098,543,55
82,3/24/2018,34396,79562,257167,1755,88
83,3/25/2018,25562,62656,257226,710,24
84,3/26/2018,40295,88831,257315,718,87
85,3/27/2018,41354,88986,257378,524,63
86,3/28/2018,41880,80607,257447,586,64
87,3/29/2018,39288,84590,257501,544,65
88,3/30/2018,34784,78825,257584,1006,147
89,3/31/2018,41779,109399,257701,3856,151
0,4/1/18,33148,94040,257811,2363,264
1,4/2/18,22062,50418,257889,297,20
2,4/3/18,25883,59477,257942,189,21
3,4/4/18,36755,80049,258025,611,48
4,4/5/18,39814,87382,258086,972,112
5,4/6/18,35624,83643,258143,918,101
6,4/7/18,33245,79955,258231,1661,129
7,4/8/18,28410,67056,258324,1271,75
8,4/9/18,40509,87612,258423,614,62
9,4/10/18,43051,89629,258498,475,37
10,4/11/18,48612,104081,258599,894,114
11,4/12/18,53168,114400,258754,1095,146
12,4/13/18,63503,150894,258926,3168,262
13,4/14/18,62595,185232,259171,7643,346
14,4/15/18,20440,58497,259252,525,21
15,4/16/18,26288,65284,259344,452,31
16,4/17/18,44689,104884,259470,589,85
17,4/18/18,51110,112664,259583,996,152
18,4/19/18,38298,79890,259704,407,52
19,4/20/18,47049,101982,259820,1241,133
20,4/21/18,63594,179681,260015,3142,214
21,4/22/18,54282,149532,260257,5399,265
22,4/23/18,57764,131224,260545,1976,191
23,4/24/18,58523,126491,260740,1529,159
24,4/25/18,31213,63086,260861,403,36
25,4/26/18,66074,150788,261062,2578,294
26,4/27/18,39153,85566,261172,823,70
27,4/28/18,56735,158334,261434,6129,369
28,4/29/18,44825,130649,261651,3594,266
29,4/30/18,41074,91215,261874,751,66
30,5/1/18,72035,173896,262154,3155,390
31,5/2/18,76773,189852,262535,3270,329
32,5/3/18,69053,165326,262816,2931,282
33,5/4/18,71197,177291,263103,3595,360
34,5/5/18,63325,167568,263371,6557,334
35,5/6/18,48993,120205,263632,3484,289
36,5/7/18,68915,156297,263992,2973,311
37,5/8/18,74310,174749,264308,3046,356
38,5/9/18,78454,183295,264589,3038,303
39,5/10/18,67454,153260,264852,2408,275
40,5/11/18,75262,184114,265052,4240,314
41,5/12/18,34535,91563,265150,2227,92
42,5/13/18,25985,67247,265260,1237,58
43,5/14/18,64727,147144,265465,2553,273
44,5/15/18,52826,118790,265682,1949,186
45,5/16/18,32766,75694,265811,493,45
46,5/17/18,49788,107763,265936,1755,113
47,5/18/18,63112,146437,266075,2663,240
48,5/19/18,18026,45461,266135,639,53
49,5/20/18,56946,158983,266399,5458,304
50,5/21/18,71218,172936,266669,3551,267
51,5/22/18,48508,109420,266868,1090,103
52,5/23/18,72653,170812,267098,2952,294
53,5/24/18,74808,177631,267330,3417,294
54,5/25/18,69342,174715,267536,4381,336
55,5/26/18,51592,155957,267703,6129,417
56,5/27/18,25813,78075,267815,1631,82
57,5/28/18,49040,140226,268037,5148,267
58,5/29/18,69090,170334,268305,2896,249
59,5/30/18,72321,159297,268645,2742,216
60,5/31/18,55798,123710,268998,1414,101
61,6/1/18,62890,147780,269167,3049,250
62,6/2/18,60287,158528,269371,5634,307
63,6/3/18,50041,134416,269544,3892,154
64,6/4/18,58910,130774,269763,2372,166
65,6/5/18,71906,155007,269934,2682,199
66,6/6/18,69797,154726,270119,2479,173
67,6/7/18,70478,160532,270274,2808,198
68,6/8/18,72696,163188,270455,3915,283
69,6/9/18,65239,171623,270657,6917,292
70,6/10/18,41639,106867,270825,3136,112
71,6/11/18,68060,154381,271146,3044,243
72,6/12/18,76255,166828,271364,3260,215
73,6/13/18,64270,144934,271541,2044,104
74,6/14/18,75803,173109,271708,3359,227
75,6/15/18,72417,160081,271883,4005,296
76,6/16/18,63182,165240,272071,7037,339
77,6/17/18,56218,146611,272306,5760,232
78,6/18/18,63551,136481,272522,2498,206
79,6/19/18,72168,153883,272780,2902,230
80,6/20/18,74088,165836,272950,2929,231
81,6/21/18,70050,158375,273114,3026,262
82,6/22/18,71084,156062,273291,3736,263
83,6/23/18,51028,118620,273422,4172,207
84,6/24/18,55775,152057,273615,5862,232
85,6/25/18,71747,163026,273820,3441,221
86,6/26/18,80643,171973,274006,3442,254
87,6/27/18,67647,140557,274165,2457,183
88,6/28/18,50431,104860,274290,1967,154
89,6/29/18,69856,151785,274467,3940,326
90,6/30/18,54713,134347,274628,5425,360
